id,kind,text,occurrences,age_range,place,scene,present,flags,mark,notes
S-0024,Scene,"Amara Stephens, your younger brother has come in after everyone else three nights this week, and said a different place each time. Nobody has said anything about it at breakfast, and you have started waiting to see whether they will.",1,age 12,"Alaska","episode","Amara Stephens, your younger brother","vocative-binding",,
S-0025,Scene,"Something local needs hands on a Saturday, and someone has asked whether you are one of them.",5,ages 13–16,"Alaska","formative","","",,
S-0026,Scene,"It has been months, and the nights have not stopped. Amara Stephens looks through you at breakfast now, which is new.",1,age 13,"Alaska","episode","Amara Stephens, your younger brother","",,
S-0027,Scene,"Somebody at home needs more looking after than the household can spread around, and you are old enough now for that to mean you.",4,ages 13–16,"Alaska","formative","","",,
S-0028,Scene,"There is a phone call at an hour when phone calls are never good, and it is about Amara Stephens. By the time anybody explains it to you properly, the part where you could have said something has been over for a year.",1,age 14,"Alaska","episode","Amara Stephens, your younger brother","",,
S-0029,Scene,"The year is running out, and people keep asking what comes after it.",5,ages 13–16,"Alaska","formative","","",,
S-0030,Scene,"Raymond Wilcox, your younger brother has come in after everyone else three nights this week, and said a different place each time. Nobody has said anything about it at breakfast, and you have started waiting to see whether they will.",1,age 13,"Lexington, Kentucky","episode","Raymond Wilcox, your younger brother","vocative-binding",,
S-0031,Scene,"Something at school is wrong enough that people are talking about doing something, and the talking has reached you.",3,ages 13–17,"Lexington, Kentucky","formative","","",,
S-0032,Scene,"There is a phone call at an hour when phone calls are never good, and it is about Raymond Wilcox. By the time anybody explains it to you properly, the part where you could have said something has been over for a year.",1,age 14,"Lexington, Kentucky","episode","Raymond Wilcox, your younger brother","",,
S-0033,Scene,"Someone you respect says something you think is wrong, and says it as though it settles the matter.",3,ages 15–17,"Lexington, Kentucky","formative","Vivian Morrison","",,
S-0034,Scene,"There is a job going. The hours are real, and the law has something to say about which of them you are allowed to work.",1,age 14,"Kentucky","formative","","",,
S-0035,Scene,"It is a year later and it is still on your record at school, in a sentence somebody else wrote about you. A teacher who was not there brings it up as though it settles something.",3,ages 11–14,"Kentucky","episode","","",,
S-0036,Scene,"Noah Vinson, your younger brother has come in after everyone else three nights this week, and said a different place each time. Nobody has said anything about it at breakfast, and you have started waiting to see whether they will.",1,age 16,"Nebraska","episode","Noah Vinson, your younger brother","vocative-binding",,
S-0037,Scene,"Noah Vinson is up before you most mornings now, and has been for a while. Neither of you has ever gone back over the year it took, and there is a version of this evening where one of you does.",1,age 17,"Nebraska","episode","Noah Vinson, your younger brother","",,
S-0038,Scene,"Malik Pollard, your younger brother has come in after everyone else three nights this week, and said a different place each time. Nobody has said anything about it at breakfast, and you have started waiting to see whether they will.",1,age 16,"Alaska","episode","Malik Pollard, your younger brother","vocative-binding",,
S-0039,Scene,"Malik Pollard is up before you most mornings now, and has been for a while. Neither of you has ever gone back over the year it took, and there is a version of this evening where one of you does.",1,age 18,"Alaska","episode","Malik Pollard, your younger brother","",,
S-0040,Scene,"Somebody in the family needs two weeks of your time, and those two weeks are ones you had already given to something else.",13,ages 18–19,"Alaska","adult","Justin Pollard, your dad","",,
S-0041,Scene,"A day with nothing owed on it, and weather that makes staying indoors feel like a waste.",12,ages 18–20,"Alaska","adult","","",,
S-0042,Scene,"Logan Roberts, your younger sister has come in after everyone else three nights this week, and said a different place each time. Nobody has said anything about it at breakfast, and you have started waiting to see whether they will.",1,age 16,"Kentucky","episode","Logan Roberts, your younger sister","vocative-binding",,
S-0043,Scene,"Logan Roberts is up before you most mornings now, and has been for a while. Neither of you has ever gone back over the year it took, and there is a version of this evening where one of you does.",1,age 18,"Kentucky","episode","Logan Roberts, your younger sister","",,
S-0044,Scene,"Something in the place has stopped working properly. It is not urgent, and it will not fix itself.",12,ages 18–26,"Kentucky","adult","","",,
S-0045,Scene,"The looking-after that has been shared out is about to stop being shared out, and everyone is waiting to see who says something first.",12,ages 18–25,"Kentucky","adult","Ayanna Roberts, your dad","",,
S-0046,Scene,"There is a thing on at the weekend that you would probably enjoy and have no obligation to attend.",11,ages 18–26,"Kentucky","adult","","",,
S-0047,Scene,"Piper Rich says, not for the first time but for the first time out loud, that the week does not divide evenly. They are right, and they have picked a bad evening to be right on.",1,age 18,"Kentucky","episode","Piper Rich, who you live with","",,
S-0048,Scene,"The place the group meets in is going to close. Keeping it open means keeping a charge alive that everybody was told would end this year, and the people who would pay it are not the people who use it.",12,ages 18–25,"Kentucky","adult","","",,
S-0049,Scene,"A small amount of money has arrived that nothing is already claiming.",10,ages 18–35,"Kentucky","adult","","",,
S-0050,Scene,"The same thing has gone undone three weeks running, and it is not going to be mentioned again unless you mention it.",5,ages 19–52,"Kentucky","adult","Piper Rich, who you live with","",,
S-0051,Scene,"Piper Rich raises it again, and this time they have the specifics: dates, which weeks, what they did instead. It is not an argument about the laundry any more.",1,age 19,"Kentucky","episode","Piper Rich, who you live with","",,
S-0052,Scene,"The month does not add up the way it did. Nothing has gone wrong; the numbers have simply moved.",11,ages 18–26,"Kentucky","adult","","",,
S-0053,Scene,"Something has broken that has to be replaced, and it was not in the month's arithmetic.",5,ages 19–46,"Nebraska","adult","","",,
S-0054,Scene,"There is a notice on the door of the building at the end of the road about what is going to happen to it. The meeting is on Tuesday and nobody you know is going.",4,ages 19–62,"Nebraska","episode","","",,
S-0055,Scene,"Lance McLaughlin says, not for the first time but for the first time out loud, that the week does not divide evenly. They are right, and they have picked a bad evening to be right on.",1,age 25,"Kentucky","episode","Lance McLaughlin, who you live with","",,
S-0056,Scene,"Nothing is owed to anybody this evening, and the other person is in.",5,ages 25–52,"Kentucky","adult","Lance McLaughlin, who you live with","",,
S-0057,Scene,"Lance McLaughlin raises it again, and this time they have the specifics: dates, which weeks, what they did instead. It is not an argument about the laundry any more.",1,age 26,"Kentucky","episode","Lance McLaughlin, who you live with","",,
S-0058,Scene,"Something you said you would do has arrived, and it is less convenient than it was when you said it.",3,ages 25–35,"Alaska","adult","","",,
S-0059,Scene,"Victoria Stone says, not for the first time but for the first time out loud, that the week does not divide evenly. They are right, and they have picked a bad evening to be right on.",1,age 34,"Nebraska","episode","Victoria Stone, who you live with","",,
S-0060,Scene,"Victoria Stone raises it again, and this time they have the specifics: dates, which weeks, what they did instead. It is not an argument about the laundry any more.",1,age 35,"Nebraska","episode","Victoria Stone, who you live with","",,
S-0061,Scene,"Philip Wiley says, not for the first time but for the first time out loud, that the week does not divide evenly. They are right, and they have picked a bad evening to be right on.",1,age 45,"Kentucky","episode","Philip Wiley, who you live with","",,
S-0062,Scene,"Philip Wiley raises it again, and this time they have the specifics: dates, which weeks, what they did instead. It is not an argument about the laundry any more.",1,age 46,"Kentucky","episode","Philip Wiley, who you live with","",,
S-0063,Scene,"Carmen Drake says, not for the first time but for the first time out loud, that the week does not divide evenly. They are right, and they have picked a bad evening to be right on.",1,age 62,"Alaska","episode","Carmen Drake, who you live with","",,
S-0064,Scene,"Carmen Drake raises it again, and this time they have the specifics: dates, which weeks, what they did instead. It is not an argument about the laundry any more.",1,age 62,"Alaska","episode","Carmen Drake, who you live with","",,
S-0065,Scene,"Malik Black says, not for the first time but for the first time out loud, that the week does not divide evenly. They are right, and they have picked a bad evening to be right on.",1,age 34,"Kentucky","episode","Malik Black, who you live with","",,
S-0066,Scene,"There is more work than week, and somebody has decided the difference is yours.",3,ages 34–52,"Kentucky","adult","","",,
S-0067,Scene,"Something better paid has been mentioned to you, somewhere else, and mentioning it back is the part that costs.",3,ages 34–52,"Kentucky","adult","","",,
S-0068,Scene,"Malik Black raises it again, and this time they have the specifics: dates, which weeks, what they did instead. It is not an argument about the laundry any more.",1,age 34,"Kentucky","episode","Malik Black, who you live with","",,
S-0069,Scene,"The week went well. Nothing dramatic; it simply worked.",2,ages 45–53,"Nebraska","adult","","",,
S-0070,Scene,"Austin Patel says, not for the first time but for the first time out loud, that the week does not divide evenly. They are right, and they have picked a bad evening to be right on.",1,age 52,"Alaska","episode","Austin Patel, who you live with","",,
S-0071,Scene,"Austin Patel raises it again, and this time they have the specifics: dates, which weeks, what they did instead. It is not an argument about the laundry any more.",1,age 52,"Alaska","episode","Austin Patel, who you live with","",,
S-0072,Scene,"Kian Keller, your younger sister has come in after everyone else three nights this week, and said a different place each time. Nobody has said anything about it at breakfast, and you have started waiting to see whether they will.",1,age 10,"Kentucky","episode","Kian Keller, your younger sister","vocative-binding",,
S-0073,Scene,"There is a phone call at an hour when phone calls are never good, and it is about Kian Keller. By the time anybody explains it to you properly, the part where you could have said something has been over for a year.",1,age 12,"Kentucky","episode","Kian Keller, your younger sister","",,
S-0074,Scene,"You and Sara Snyder have spent most of this year in each other's houses. This afternoon they want you to come somewhere you have already said you would not go.",1,age 12,"Kentucky","episode","Sara Snyder","",,
S-0075,Scene,"Bianca Turner, your younger brother has come in after everyone else three nights this week, and said a different place each time. Nobody has said anything about it at breakfast, and you have started waiting to see whether they will.",1,age 11,"Kentucky","episode","Bianca Turner, your younger brother","vocative-binding",,
S-0076,Scene,"Bianca Turner has not brought up the conversation again, and neither have you. Tonight he asks you for money, and does not say what for.",1,age 11,"Kentucky","episode","Bianca Turner, your younger brother","",,
S-0077,Scene,"There is a phone call at an hour when phone calls are never good, and it is about Bianca Turner. By the time anybody explains it to you properly, the part where you could have said something has been over for a year.",1,age 12,"Kentucky","episode","Bianca Turner, your younger brother","",,
S-0078,Scene,"You and Simon Garner have spent most of this year in each other's houses. This afternoon they want you to come somewhere you have already said you would not go.",1,age 12,"Kentucky","episode","Simon Garner","",,
S-0079,Scene,"Erica Lopez, your younger brother has come in after everyone else three nights this week, and said a different place each time. Nobody has said anything about it at breakfast, and you have started waiting to see whether they will.",1,age 10,"Kentucky","episode","Erica Lopez, your younger brother","vocative-binding",,
S-0080,Scene,"Something got said that should not have been, and now the two of you are being careful with each other.",1,age 11,"Kentucky","formative","Heather Hill, who is in your class","",,
S-0081,Scene,"It has been months, and the nights have not stopped. Erica Lopez looks through you at breakfast now, which is new.",1,age 11,"Kentucky","episode","Erica Lopez, your younger brother","",,
S-0082,Scene,"You and Heather Hill have spent most of this year in each other's houses. This afternoon they want you to come somewhere you have already said you would not go.",1,age 11,"Kentucky","episode","Heather Hill, who is in your class","",,
S-0083,Scene,"Charlotte Harrington, your younger sister has come in after everyone else three nights this week, and said a different place each time. Nobody has said anything about it at breakfast, and you have started waiting to see whether they will.",1,age 10,"Kentucky","episode","Charlotte Harrington, your younger sister","vocative-binding",,
S-0084,Scene,"Charlotte Harrington is up before you most mornings now, and has been for a while. Neither of you has ever gone back over the year it took, and there is a version of this evening where one of you does.",1,age 11,"Kentucky","episode","Charlotte Harrington, your younger sister","",,
S-0085,Scene,"You and Yosef Harmon have spent most of this year in each other's houses. This afternoon they want you to come somewhere you have already said you would not go.",1,age 12,"Kentucky","episode","Yosef Harmon","",,
S-0086,Scene,"Julian Chan says, not for the first time but for the first time out loud, that the week does not divide evenly. They are right, and they have picked a bad evening to be right on.",1,age 34,"Nebraska","episode","Julian Chan, who you live with","",,
C-0087,Choice,"Ask Ibrahim Rocha where she has been — When there is nobody else in the room.",1,age 5,"Kentucky","episode","Ibrahim Rocha, your older sister","",,
C-0088,Choice,"Tell a grown-up at home — Then it is theirs to deal with, and they will know it came from you.",13,ages 5–10,"Kentucky","episode","Ibrahim Rocha, your older sister","",,
C-0089,Choice,"Say nothing, and keep count — Wait until you actually know something.",13,ages 5–10,"Kentucky","episode","Ibrahim Rocha, your older sister","",,
C-0090,Choice,"Back up whatever she says — If anybody asks you, you say the same thing she said.",5,ages 5–16,"Kentucky","episode","Ibrahim Rocha, your older sister","",,
C-0091,Choice,"Say who did it — Out loud, in front of them.",15,ages 5–10,"Kentucky","episode","","",,
C-0092,Choice,"Take the blame — Whatever it costs this week.",15,ages 5–10,"Kentucky","episode","","",,
C-0093,Choice,"Say only that it wasn't you — Without saying who it was.",15,ages 5–10,"Kentucky","episode","","",,
C-0094,Choice,"Give it to them — Without asking again.",4,ages 5–11,"Kentucky","episode","Ibrahim Rocha, your older sister","",,
C-0095,Choice,"Give it, on a condition — They tell you what it is for first.",4,ages 5–11,"Kentucky","episode","Ibrahim Rocha, your older sister","",,
C-0096,Choice,"Say you will not — And say why.",4,ages 5–11,"Kentucky","episode","Ibrahim Rocha, your older sister","",,
C-0097,Choice,"Stay near them — Spend the quiet hours in the same room.",1,age 5,"Kentucky","formative","","",,
C-0098,Choice,"Keep everything else going — Hold on to the ordinary parts of the day.",1,age 5,"Kentucky","formative","","",,
C-0099,Choice,"Go, and stay — Whatever else was happening this week.",7,ages 6–14,"Kentucky","episode","Ibrahim Rocha, your older sister","",,
C-0100,Choice,"Handle the practical end — Somebody has to make the calls.",7,ages 6–14,"Kentucky","episode","Ibrahim Rocha, your older sister","",,
C-0101,Choice,"Keep out of it — You have been kept out of it for a year already.",7,ages 6–14,"Kentucky","episode","Ibrahim Rocha, your older sister","",,
C-0102,Choice,"Join in — Take part in the new classroom routine.",1,age 7,"Kentucky","formative","","",,
C-0103,Choice,"Hang back and watch — Learn how the room works before joining it.",1,age 7,"Kentucky","formative","","",,
C-0104,Choice,"Make room — Invite the other child to join the table.",5,ages 8–12,"Kentucky","formative","Bo Hill, who is in your class","",,
C-0105,Choice,"Look away — Avoid getting involved in the moment.",5,ages 8–12,"Kentucky","formative","Bo Hill, who is in your class","",,
C-0106,Choice,"Go and sit somewhere else with them — Leave the full table rather than squeeze one more in.",5,ages 8–12,"Kentucky","formative","Bo Hill, who is in your class","",,
C-0107,Choice,"Go with them — Sort the rest out afterwards.",11,ages 8–13,"Kentucky","episode","Bo Hill, who is in your class","",,
C-0108,Choice,"Stay where you said you'd be — They will be annoyed.",11,ages 8–13,"Kentucky","episode","Bo Hill, who is in your class","",,
C-0109,Choice,"Ask them to come with you instead — It is duller and they will say so.",11,ages 8–13,"Kentucky","episode","Bo Hill, who is in your class","",,
C-0110,Choice,"Ask Miranda Rosario where she has been — When there is nobody else in the room.",1,age 8,"Kentucky","episode","Miranda Rosario, your younger sister","",,
C-0111,Choice,"Cover things at home — Be the one the household can count on.",7,ages 8–11,"Kentucky","formative","","",,
C-0112,Choice,"Keep the commitment — Hold on to what you already agreed to.",7,ages 8–11,"Kentucky","formative","","",,
C-0113,Choice,"Try to do both — Split the afternoons and give each of them less.",7,ages 8–11,"Kentucky","formative","","",,
C-0114,Choice,"Tell it again — The same way you told it the first time.",7,ages 9–11,"Kentucky","episode","","",,
C-0115,Choice,"Say it's over — And leave it there.",7,ages 9–11,"Kentucky","episode","","",,
C-0116,Choice,"Accept guidance — Follow up with the adult who offered help.",8,ages 9–11,"Kentucky","formative","Selena Wynn","",,
C-0117,Choice,"Handle it alone — Thank them, then try independently.",8,ages 9–11,"Kentucky","formative","Selena Wynn","",,
C-0118,Choice,"Bring it up — Say that you were the one who told.",5,ages 9–18,"Kentucky","episode","Miranda Rosario, your younger sister","",,
C-0119,Choice,"Let it lie — It is going well. That can be enough.",5,ages 9–18,"Kentucky","episode","Miranda Rosario, your younger sister","",,
C-0120,Choice,"Say what you think — Give the school your actual view of the rule.",2,ages 9–12,"Kentucky","formative","","",,
C-0121,Choice,"Leave it to others — Let the people who want to speak do the speaking.",2,ages 9–12,"Kentucky","formative","","",,
C-0122,Choice,"Put it in writing — Say it where it has to be read rather than heard.",2,ages 9–12,"Kentucky","formative","","",,
C-0123,Choice,"Ask Deborah Perez where he has been — When there is nobody else in the room.",2,age 10,"Kentucky","episode","Deborah Perez, your younger brother","",,
C-0124,Choice,"Back up whatever he says — If anybody asks you, you say the same thing he said.",8,ages 10–13,"Kentucky","episode","Deborah Perez, your younger brother","",,
C-0125,Choice,"Ask what happened — Ask directly why the plan changed.",3,ages 11–12,"Nebraska","formative","","",,
C-0126,Choice,"Let it go — Accept the change without pressing.",3,ages 11–12,"Nebraska","formative","","",,
C-0127,Choice,"Join the activity — Commit time to a new group or activity.",6,ages 13–14,"Nebraska","formative","","",,
C-0128,Choice,"Leave the activity — Make room for another priority.",6,ages 13–14,"Nebraska","formative","","",,
C-0129,Choice,"Stay, but do less of it — Keep a foot in without giving it the week.",6,ages 13–14,"Nebraska","formative","","",,
C-0130,Choice,"Ask Amara Stephens where he has been — When there is nobody else in the room.",1,age 12,"Alaska","episode","Amara Stephens, your younger brother","",,
C-0131,Choice,"Volunteer — Contribute time to a local effort.",5,ages 13–16,"Alaska","formative","","",,
C-0132,Choice,"Observe first — Learn about the work before committing.",5,ages 13–16,"Alaska","formative","","",,
C-0133,Choice,"Get other people to go — Find the hands rather than be them.",5,ages 13–16,"Alaska","formative","","",,
C-0134,Choice,"Say what you've seen — All of it, at once.",2,ages 11–13,"Alaska","episode","Amara Stephens, your younger brother","",,
C-0135,Choice,"Keep watching, say nothing — Nothing has actually happened yet.",2,ages 11–13,"Alaska","episode","Amara Stephens, your younger brother","",,
C-0136,Choice,"Take it on — Carry the regular share nobody else can.",4,ages 13–16,"Alaska","formative","","",,
C-0137,Choice,"Say what you can manage — Name the limit before it becomes assumed.",4,ages 13–16,"Alaska","formative","","",,
C-0138,Choice,"Look for help from outside the house — Find somebody who is not in the family to carry part of it.",4,ages 13–16,"Alaska","formative","","",,
C-0139,Choice,"Take a concrete step — Move on education, training, work, or service while there is time.",5,ages 13–16,"Alaska","formative","","",,
C-0140,Choice,"Keep your options open — Decide later, on better information.",5,ages 13–16,"Alaska","formative","","",,
C-0141,Choice,"Ask somebody who has done it — Go and find out what it is actually like first.",5,ages 13–16,"Alaska","formative","","",,
C-0142,Choice,"Ask Raymond Wilcox where he has been — When there is nobody else in the room.",1,age 13,"Lexington, Kentucky","episode","Raymond Wilcox, your younger brother","",,
C-0143,Choice,"Help organize it — Put your name and your time behind it.",3,ages 13–17,"Lexington, Kentucky","formative","","",,
C-0144,Choice,"Stay out of it — Let it happen without you.",3,ages 13–17,"Lexington, Kentucky","formative","","",,
C-0145,Choice,"Say you disagree — Tell them, to their face, that you see it differently.",3,ages 15–17,"Lexington, Kentucky","formative","Vivian Morrison","",,
C-0146,Choice,"Let it pass — Keep the disagreement to yourself for now.",3,ages 15–17,"Lexington, Kentucky","formative","Vivian Morrison","",,
C-0147,Choice,"Accept the opportunity — Take on the offered role if it is permitted.",1,age 14,"Kentucky","formative","","",,
C-0148,Choice,"Decline for now — Keep the current commitments manageable.",1,age 14,"Kentucky","formative","","",,
C-0149,Choice,"Correct the record — A year late, and it names somebody.",3,ages 11–14,"Kentucky","episode","","",,
C-0150,Choice,"Let it stand — It is a sentence on a file.",3,ages 11–14,"Kentucky","episode","","",,
C-0151,Choice,"Ask Noah Vinson where he has been — When there is nobody else in the room.",1,age 16,"Nebraska","episode","Noah Vinson, your younger brother","",,
C-0152,Choice,"Ask Malik Pollard where he has been — When there is nobody else in the room.",1,age 16,"Alaska","episode","Malik Pollard, your younger brother","",,
C-0153,Choice,"Give the two weeks — Give the two weeks and deal with the rest afterwards.",13,ages 18–19,"Alaska","adult","Justin Pollard, your dad","",,
C-0154,Choice,"Stay with what you had — Hold the plan and say you cannot.",13,ages 18–19,"Alaska","adult","Justin Pollard, your dad","",,
C-0155,Choice,"Split the two weeks — Half of each, and neither done properly.",13,ages 18–19,"Alaska","adult","Justin Pollard, your dad","",,
C-0156,Choice,"Find somebody else to go — Arrange cover rather than provide it.",13,ages 18–19,"Alaska","adult","Justin Pollard, your dad","",,
C-0157,Choice,"Go out into it — Spend the day outside.",12,ages 18–20,"Alaska","adult","","",,
C-0158,Choice,"Get things done — Use the day on the backlog.",12,ages 18–20,"Alaska","adult","","",,
C-0159,Choice,"Do nothing at all — Waste it deliberately.",12,ages 18–20,"Alaska","adult","","",,
C-0160,Choice,"Ask Logan Roberts where she has been — When there is nobody else in the room.",1,age 16,"Kentucky","episode","Logan Roberts, your younger sister","",,
C-0161,Choice,"Fix it this afternoon — Spend the afternoon and the money now.",12,ages 18–26,"Kentucky","adult","","",,
C-0162,Choice,"Leave it for now — It works well enough.",12,ages 18–26,"Kentucky","adult","","",,
C-0163,Choice,"Ask someone who knows — Get somebody involved rather than guessing.",12,ages 18–26,"Kentucky","adult","","",,
C-0164,Choice,"Take it on — Say you will, and mean the standing version.",12,ages 18–25,"Kentucky","adult","Ayanna Roberts, your dad","",,
C-0165,Choice,"Say what you can manage — Offer a share, and be specific about its edges.",12,ages 18–25,"Kentucky","adult","Ayanna Roberts, your dad","",,
C-0166,Choice,"Wait for somebody else — Let the silence run and see who breaks it.",12,ages 18–25,"Kentucky","adult","Ayanna Roberts, your dad","",,
C-0167,Choice,"Say you will come — Go, and see who is there.",11,ages 18–26,"Kentucky","adult","","",,
C-0168,Choice,"Keep the weekend — Keep the weekend as it is.",11,ages 18–26,"Kentucky","adult","","",,
C-0169,Choice,"Take some of it back — Name which parts, tonight.",8,ages 18–45,"Kentucky","episode","Piper Rich, who you live with","",,
C-0170,Choice,"Explain what your week looks like — It is also true, and it is not an answer.",8,ages 18–45,"Kentucky","episode","Piper Rich, who you live with","",,
C-0171,Choice,"Offer to pay someone — It costs money you would notice.",8,ages 18–45,"Kentucky","episode","Piper Rich, who you live with","",,
C-0172,Choice,"Say you'll sort it at the weekend — You mean it when you say it.",8,ages 18–45,"Kentucky","episode","Piper Rich, who you live with","",,
C-0173,Choice,"Keep the charge going — Extend what was supposed to end.",12,ages 18–25,"Kentucky","adult","","",,
C-0174,Choice,"Move somewhere cheaper — Keep the group, lose the building.",12,ages 18–25,"Kentucky","adult","","",,
C-0175,Choice,"Pay for it out of something else — Keep the building; something else goes.",12,ages 18–25,"Kentucky","adult","","",,
C-0176,Choice,"Go and find the money — Take it to people who might fund it, with no promises.",12,ages 18–25,"Kentucky","adult","","",,
C-0177,Choice,"Put it away — Keep it for something later.",10,ages 18–35,"Kentucky","adult","","",,
C-0178,Choice,"Spend it on something good — Enjoy it while it is here.",10,ages 18–35,"Kentucky","adult","","",,
C-0179,Choice,"Give it to somebody who needs it — Pass it on.",10,ages 18–35,"Kentucky","adult","","",,
C-0180,Choice,"Say it plainly — Name what has been left, and to whom.",5,ages 19–52,"Kentucky","adult","Piper Rich, who you live with","",,
C-0181,Choice,"Do it yourself again — Take it on rather than have the conversation.",5,ages 19–52,"Kentucky","adult","Piper Rich, who you live with","",,
C-0182,Choice,"Work out who does what — Turn it into a standing arrangement rather than a row.",5,ages 19–52,"Kentucky","adult","Piper Rich, who you live with","",,
C-0183,Choice,"Change something real — Hours, or a standing commitment.",7,ages 19–46,"Kentucky","episode","Piper Rich, who you live with","",,
C-0184,Choice,"Say it isn't going to change — Honestly, and without an excuse.",7,ages 19–46,"Kentucky","episode","Piper Rich, who you live with","",,
C-0185,Choice,"Ask for six months — You say what happens at the end of them.",7,ages 19–46,"Kentucky","episode","Piper Rich, who you live with","",,
C-0186,Choice,"Cut back quietly — Take it out of what only you would miss.",11,ages 18–26,"Kentucky","adult","","",,
C-0187,Choice,"Say the month is tight — Put it in front of whoever else it affects.",11,ages 18–26,"Kentucky","adult","","",,
C-0188,Choice,"Find the difference — Pick up whatever makes up the shortfall.",11,ages 18–26,"Kentucky","adult","","",,
C-0189,Choice,"Replace it now — Replace it and move on.",5,ages 19–46,"Nebraska","adult","","",,
C-0190,Choice,"Go without it — Go without and see how long it lasts.",5,ages 19–46,"Nebraska","adult","","",,
C-0191,Choice,"Go on Tuesday — And see who else does.",4,ages 19–62,"Nebraska","episode","","",,
C-0192,Choice,"Read the notice properly — There is a comment address on it.",4,ages 19–62,"Nebraska","episode","","",,
C-0193,Choice,"Leave it to whoever turns up — Somebody always does.",4,ages 19–62,"Nebraska","episode","","",,
C-0194,Choice,"Spend it together — Nothing in particular, with company.",5,ages 25–52,"Kentucky","adult","Lance McLaughlin, who you live with","",,
C-0195,Choice,"Keep the evening — Take the evening back for your own.",5,ages 25–52,"Kentucky","adult","Lance McLaughlin, who you live with","",,
