municipio_geoid5,state_fips,municipio_county_fips,name,population_2025_07_01,geography_type,population_source_url,geocode_source_url
72121,72,121,Sabana Grande,22055,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72123,72,123,Salinas,24218,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72125,72,125,San Germán,30809,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72127,72,127,San Juan,329737,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72129,72,129,San Lorenzo,37275,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72131,72,131,San Sebastián,39019,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72133,72,133,Santa Isabel,19547,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72135,72,135,Toa Alta,65754,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72137,72,137,Toa Baja,70931,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72139,72,139,Trujillo Alto,66348,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72141,72,141,Utuado,26894,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72143,72,143,Vega Alta,34351,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72145,72,145,Vega Baja,53505,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72147,72,147,Vieques,7867,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72149,72,149,Villalba,21133,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72151,72,151,Yabucoa,28058,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
72153,72,153,Yauco,31608,Puerto Rico municipio,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/municipios/totals/prm-est2025-pop.xlsx,https://www2.census.gov/programs-surveys/popest/geographies/2025/all-geocodes-v2025.xlsx
