USPS|GEOID|GEOIDFQ|NAME|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
AL|01048|620L900US01048|State House District 48|101619895|5001778|39.236|1.931|33.453032|-86.700095
AL|01049|620L900US01049|State House District 49|1647559934|12716839|636.126|4.91|33.053582|-87.005274
AL|01050|620L900US01050|State House District 50|627422822|9454894|242.249|3.651|33.65773|-86.423959
AL|01051|620L900US01051|State House District 51|515580570|1795940|199.067|0.693|33.743146|-86.807936
AL|01052|620L900US01052|State House District 52|38987597|12947|15.053|0.005|33.473008|-86.853867
AL|01053|620L900US01053|State House District 53|75446499|665037|29.13|0.257|34.744534|-86.626581
AL|01054|620L900US01054|State House District 54|52095254|1999|20.114|0.001|33.53479|-86.766763
AL|01055|620L900US01055|State House District 55|58924822|29620|22.751|0.011|33.501982|-86.874861
AL|01056|620L900US01056|State House District 56|154464461|605990|59.639|0.234|33.390077|-86.943729
AL|01057|620L900US01057|State House District 57|196653004|1143371|75.928|0.441|33.476195|-86.999552
AL|01058|620L900US01058|State House District 58|81181778|163575|31.344|0.063|33.591841|-86.673626
AL|01059|620L900US01059|State House District 59|145845782|322458|56.311|0.125|33.613341|-86.757558
AL|01060|620L900US01060|State House District 60|235363377|1318355|90.874|0.509|33.600484|-86.921733
AL|01061|620L900US01061|State House District 61|1965435237|16351452|758.859|6.313|33.378043|-87.964183
AL|01062|620L900US01062|State House District 62|826884091|10178042|319.262|3.93|33.139808|-87.374069
AL|01063|620L900US01063|State House District 63|62324319|5058528|24.064|1.953|33.241248|-87.518727
AL|01064|620L900US01064|State House District 64|717099567|2911176|276.874|1.124|30.611071|-87.725178
AL|01065|620L900US01065|State House District 65|7768466833|79374652|2999.422|30.647|31.606678|-88.096844
AL|01066|620L900US01066|State House District 66|2764144381|48256523|1067.242|18.632|31.033548|-87.527634
AL|01067|620L900US01067|State House District 67|4247892537|49746024|1640.121|19.207|32.463686|-87.175848
AL|01068|620L900US01068|State House District 68|7084302832|56132469|2735.265|21.673|31.723742|-87.491046
AL|01069|620L900US01069|State House District 69|4984977283|98497425|1924.711|38.03|32.153902|-86.897974
AL|01070|620L900US01070|State House District 70|65993328|750014|25.48|0.29|33.171001|-87.513409
AL|01071|620L900US01071|State House District 71|4665426181|53170016|1801.331|20.529|32.656623|-88.09061
AL|01072|620L900US01072|State House District 72|4186220370|77252275|1616.309|29.827|32.842115|-87.716063
AL|01073|620L900US01073|State House District 73|131797932|1781148|50.887|0.688|33.256043|-86.789011
AL|01074|620L900US01074|State House District 74|55087548|219630|21.269|0.085|32.37982|-86.24407
AL|01075|620L900US01075|State House District 75|825238243|11378598|318.626|4.393|32.392888|-86.081507
AL|01076|620L900US01076|State House District 76|291379981|4395889|112.502|1.697|32.24296|-86.220113
AL|01077|620L900US01077|State House District 77|47940239|294616|18.51|0.114|32.359292|-86.294382
AL|01078|620L900US01078|State House District 78|269040012|18347678|103.877|7.084|32.395276|-86.314824
AL|01079|620L900US01079|State House District 79|104061758|2131210|40.178|0.823|32.592313|-85.471888
AL|01080|620L900US01080|State House District 80|179481024|2107103|69.298|0.814|32.515711|-85.077207
AL|01081|620L900US01081|State House District 81|2008025651|129418716|775.303|49.969|32.854383|-85.785254
AL|01082|620L900US01082|State House District 82|1760402624|12999418|679.695|5.019|32.411669|-85.685399
AL|01083|620L900US01083|State House District 83|713781693|4634120|275.593|1.789|32.451229|-85.261304
AL|01084|620L900US01084|State House District 84|5054963423|69360777|1951.732|26.78|32.026429|-85.451265
AL|01085|620L900US01085|State House District 85|1587964062|16668533|613.116|6.436|31.494109|-85.253826
AL|01086|620L900US01086|State House District 86|1147764460|4043237|443.154|1.561|31.123781|-85.249622
AL|01087|620L900US01087|State House District 87|1682159080|12176741|649.485|4.701|31.120806|-85.805229
AL|01088|620L900US01088|State House District 88|178503552|8319004|68.921|3.212|32.488457|-86.400236
AL|01089|620L900US01089|State House District 89|2327523794|5114967|898.662|1.975|31.730293|-85.863556
AL|01090|620L900US01090|State House District 90|6025995730|19406631|2326.65|7.493|31.695493|-86.528533
AL|01091|620L900US01091|State House District 91|1020859973|1628177|394.156|0.629|31.395511|-85.935292
AL|01092|620L900US01092|State House District 92|3761245141|43952277|1452.225|16.97|31.220614|-86.511875
AL|01093|620L900US01093|State House District 93|893548563|1275519|345.001|0.492|31.365937|-85.576796
AL|01094|620L900US01094|State House District 94|333267357|233255868|128.675|90.061|30.447652|-87.875785
AL|01095|620L900US01095|State House District 95|364921778|650560907|140.897|251.183|30.253506|-87.810552
AL|01096|620L900US01096|State House District 96|282285329|152488199|108.991|58.876|30.677725|-87.917015
AL|01097|620L900US01097|State House District 97|131316841|42557732|50.702|16.432|30.732171|-88.044934
AL|01098|620L900US01098|State House District 98|365281401|13133701|141.036|5.071|30.871933|-88.065648
AL|01099|620L900US01099|State House District 99|134705666|225637|52.01|0.087|30.756563|-88.197004
AL|01100|620L900US01100|State House District 100|188730217|1236229|72.869|0.477|30.617285|-88.285418
AL|01101|620L900US01101|State House District 101|100908184|5525057|38.961|2.133|30.70086|-88.246136
AL|01102|620L900US01102|State House District 102|1806008610|53227500|697.304|20.551|30.955682|-88.162822
AL|01103|620L900US01103|State House District 103|66409353|7339298|25.641|2.834|30.627807|-88.113827
AL|01104|620L900US01104|State House District 104|78172657|231751|30.183|0.089|30.600812|-88.187996
AL|01105|620L900US01105|State House District 105|669732325|979843603|258.585|378.32|30.392172|-88.190675
AK|02001|620L900US02001|State House District 1|20206793207|7659716864|7801.887|2957.433|55.662896|-131.366292
AK|02002|620L900US02002|State House District 2|60535587976|31932575215|23372.922|12329.237|57.651358|-135.699548
AK|02003|620L900US02003|State House District 3|12673802586|2992807468|4893.383|1155.529|59.098404|-135.575791
AK|02004|620L900US02004|State House District 4|5317498501|769664347|2053.098|297.169|58.241091|-134.056102
AK|02005|620L900US02005|State House District 5|35713050586|27079593556|13788.887|10455.49|60.720017|-146.726113
AK|02006|620L900US02006|State House District 6|6431406562|3686470782|2483.18|1423.354|59.902239|-151.340776
AK|02007|620L900US02007|State House District 7|181008357|302474803|69.888|116.786|60.575122|-151.317875
AK|02008|620L900US02008|State House District 8|10848960056|2339513552|4188.807|903.291|60.603843|-150.103819
AK|02009|620L900US02009|State House District 9|1615085405|176003874|623.588|67.955|60.965808|-148.876643
AK|02010|620L900US02010|State House District 10|23603722|46095398|9.113|17.798|61.093319|-149.867495
AK|02011|620L900US02011|State House District 11|24421004|55486|9.429|0.021|61.123933|-149.786724
AK|02012|620L900US02012|State House District 12|32282991|0|12.465|0.|61.157169|-149.780103
AK|02013|620L900US02013|State House District 13|14449735|0|5.579|0.|61.16119|-149.8828
AK|02014|620L900US02014|State House District 14|11883788|36177|4.588|0.014|61.187285|-149.885054
AK|02015|620L900US02015|State House District 15|14436967|23058698|5.574|8.903|61.122827|-149.963376
AK|02016|620L900US02016|State House District 16|55407102|220624485|21.393|85.184|61.164811|-150.177803
AK|02017|620L900US02017|State House District 17|10275843|301831|3.968|0.117|61.208703|-149.881132
AK|02018|620L900US02018|State House District 18|96400735|29280039|37.221|11.305|61.253462|-149.810741
AK|02019|620L900US02019|State House District 19|7011249|0|2.707|0.|61.21454|-149.814401
AK|02020|620L900US02020|State House District 20|12072367|175004|4.661|0.068|61.191085|-149.803004
AK|02021|620L900US02021|State House District 21|8365593|102891|3.23|0.04|61.196039|-149.745582
AK|02022|620L900US02022|State House District 22|6212702|0|2.399|0.|61.216743|-149.757542
AK|02023|620L900US02023|State House District 23|803296411|2172147|310.154|0.839|61.17425|-149.284329
AK|02024|620L900US02024|State House District 24|1717154063|136851811|662.997|52.839|61.313888|-148.987901
AK|02025|620L900US02025|State House District 25|462941707|78535425|178.743|30.323|61.533915|-148.987811
AK|02026|620L900US02026|State House District 26|209933855|73746329|81.056|28.474|61.528113|-149.413214
AK|02027|620L900US02027|State House District 27|123846023|9642529|47.817|3.723|61.611836|-149.530807
AK|02028|620L900US02028|State House District 28|66777518|4645888|25.783|1.794|61.603133|-149.374849
AK|02029|620L900US02029|State House District 29|44861703382|1668583182|17321.201|644.244|62.142809|-147.441014
AK|02030|620L900US02030|State House District 30|65029301565|1007955807|25107.955|389.174|62.944336|-150.767853
AK|02031|620L900US02031|State House District 31|25421188|912648|9.815|0.352|64.839385|-147.744607
AK|02032|620L900US02032|State House District 32|103698508|1772524|40.038|0.684|64.821361|-147.571784
AK|02033|620L900US02033|State House District 33|289744643|5390216|111.871|2.081|64.804398|-147.276174
AK|02034|620L900US02034|State House District 34|10747227563|69165030|4149.528|26.705|64.881496|-145.177064
AK|02035|620L900US02035|State House District 35|3762673710|181380208|1452.777|70.031|64.525859|-147.980489
AK|02036|620L900US02036|State House District 36|501725832271|7172627728|193717.435|2769.367|64.941081|-149.582752
AK|02037|620L900US02037|State House District 37|217006205763|97298494903|83786.568|37567.161|51.783766|-177.277959
AK|02038|620L900US02038|State House District 38|62073769637|12334710813|23966.817|4762.459|60.880839|-162.996372
AK|02039|620L900US02039|State House District 39|94682326441|18574564389|36557.052|7171.68|62.983555|-162.587635
AK|02040|620L900US02040|State House District 40|322361508868|28446416116|124464.48|10983.223|68.929415|-156.461668
AZ|04001|620L900US04001|State House District 1|21036647212|11466936|8122.295|4.427|34.631071|-112.577225
AZ|04002|620L900US04002|State House District 2|201560997|234122|77.823|0.09|33.682305|-112.075145
AZ|04003|620L900US04003|State House District 3|3824091749|33696366|1476.49|13.01|33.807163|-111.559692
AZ|04004|620L900US04004|State House District 4|260390281|1434281|100.537|0.554|33.587699|-111.957682
AZ|04005|620L900US04005|State House District 5|117796950|278784|45.482|0.108|33.522072|-112.060109
AZ|04006|620L900US04006|State House District 6|99863013492|214526293|38557.327|82.829|35.541933|-110.731846
AZ|04007|620L900US04007|State House District 7|27811449709|129908403|10738.061|50.158|34.187769|-111.016689
AZ|04008|620L900US04008|State House District 8|343977699|8760673|132.811|3.383|33.493434|-111.843986
AZ|04009|620L900US04009|State House District 9|101346850|397452|39.13|0.153|33.407362|-111.821724
AZ|04010|620L900US04010|State House District 10|219027632|764195|84.567|0.295|33.437196|-111.673681
AZ|04011|620L900US04011|State House District 11|274828431|358852|106.112|0.139|33.37955|-112.084863
AZ|04012|620L900US04012|State House District 12|333447113|1421103|128.745|0.549|33.287771|-111.983149
AZ|04013|620L900US04013|State House District 13|163258701|634230|63.035|0.245|33.274076|-111.829606
AZ|04014|620L900US04014|State House District 14|173520228|166697|66.997|0.064|33.295092|-111.735282
AZ|04015|620L900US04015|State House District 15|579676786|147247|223.814|0.057|33.237485|-111.565203
AZ|04016|620L900US04016|State House District 16|7767683787|8118900|2999.12|3.135|32.788527|-111.591709
AZ|04017|620L900US04017|State House District 17|3256588222|2386182|1257.376|0.921|32.418271|-110.813743
AZ|04018|620L900US04018|State House District 18|246772530|644614|95.279|0.249|32.300148|-110.912761
AZ|04019|620L900US04019|State House District 19|30552572262|44288235|11796.415|17.1|32.263066|-109.787765
AZ|04020|620L900US04020|State House District 20|224484701|46922|86.674|0.018|32.201344|-111.01386
AZ|04021|620L900US04021|State House District 21|5467303094|6161714|2110.938|2.379|31.620717|-110.980169
AZ|04022|620L900US04022|State House District 22|286152144|1524539|110.484|0.589|33.418248|-112.282971
AZ|04023|620L900US04023|State House District 23|29292141457|4768102|11309.76|1.841|32.389771|-112.690562
AZ|04024|620L900US04024|State House District 24|82102939|46296|31.7|0.018|33.521532|-112.196018
AZ|04025|620L900US04025|State House District 25|13797590611|10519748|5327.28|4.062|33.135831|-113.514952
AZ|04026|620L900US04026|State House District 26|85197920|218413|32.895|0.084|33.510376|-112.133026
AZ|04027|620L900US04027|State House District 27|152486325|1109510|58.875|0.428|33.617767|-112.196744
AZ|04028|620L900US04028|State House District 28|774725280|7517681|299.123|2.903|33.789536|-112.268909
AZ|04029|620L900US04029|State House District 29|1001607397|1699005|386.723|0.656|33.746275|-112.495075
AZ|04030|620L900US04030|State House District 30|46074796329|360623452|17789.579|139.237|35.102842|-113.758499
AR|05001|620L900US05001|State House District 1|3685729490|13778437|1423.068|5.32|36.316408|-90.592138
AR|05002|620L900US05002|State House District 2|2289218132|11374615|883.872|4.392|36.343436|-91.459612
AR|05003|620L900US05003|State House District 3|1186203331|73456481|457.996|28.362|36.390138|-92.211751
AR|05004|620L900US05004|State House District 4|2209244903|128154020|852.994|49.481|36.253032|-92.586911
AR|05005|620L900US05005|State House District 5|938546155|2005172|362.375|0.774|36.23399|-93.10138
AR|05006|620L900US05006|State House District 6|1659649602|52394007|640.794|20.229|36.410121|-93.400779
AR|05007|620L900US05007|State House District 7|479580882|76388418|185.167|29.494|36.361191|-93.974041
AR|05008|620L900US05008|State House District 8|188934204|958857|72.948|0.37|36.428675|-94.133679
AR|05009|620L900US05009|State House District 9|48621221|188881|18.773|0.073|36.184214|-94.087386
AR|05010|620L900US05010|State House District 10|84494373|369674|32.623|0.143|36.406773|-94.238137
AR|05011|620L900US05011|State House District 11|87051978|5687120|33.611|2.196|36.238352|-94.088032
AR|05012|620L900US05012|State House District 12|572137365|3799672|220.903|1.467|36.407682|-94.448728
AR|05013|620L900US05013|State House District 13|48974654|300346|18.909|0.116|36.326162|-94.201282
AR|05014|620L900US05014|State House District 14|130945423|808471|50.558|0.312|36.337037|-94.319704
AR|05015|620L900US05015|State House District 15|34054277|176216|13.148|0.068|36.307021|-94.146578
AR|05016|620L900US05016|State House District 16|176367677|1134582|68.096|0.438|36.257973|-94.253314
AR|05017|620L900US05017|State House District 17|400317626|5156681|154.564|1.991|36.194839|-94.456572
AR|05018|620L900US05018|State House District 18|154351812|1664621|59.596|0.643|36.163389|-94.253993
AR|05019|620L900US05019|State House District 19|53765596|1063294|20.759|0.411|36.146732|-94.155205
AR|05020|620L900US05020|State House District 20|74694029|1763513|28.84|0.681|36.096025|-94.109695
AR|05021|620L900US05021|State House District 21|31171999|93721|12.036|0.036|36.052717|-94.159546
AR|05022|620L900US05022|State House District 22|82720380|310792|31.939|0.12|36.051163|-94.246219
AR|05023|620L900US05023|State House District 23|738906123|6526419|285.293|2.52|35.992679|-94.349564
AR|05024|620L900US05024|State House District 24|1258268724|11739325|485.82|4.533|35.645748|-94.322259
AR|05025|620L900US05025|State House District 25|1623507318|31241671|626.84|12.062|35.811738|-94.071101
AR|05026|620L900US05026|State House District 26|3514890393|17281821|1357.107|6.673|35.947857|-93.701916
AR|05027|620L900US05027|State House District 27|5930832954|25227806|2289.908|9.741|35.984855|-92.647237
AR|05028|620L900US05028|State House District 28|3573547848|24978921|1379.755|9.644|35.970454|-91.470585
AR|05029|620L900US05029|State House District 29|820116009|6962955|316.649|2.688|34.393719|-92.777776
AR|05030|620L900US05030|State House District 30|900037102|4548980|347.506|1.756|36.022172|-90.800783
AR|05031|620L900US05031|State House District 31|149844834|1068644|57.855|0.413|36.031093|-90.517313
AR|05032|620L900US05032|State House District 32|60990751|404777|23.549|0.156|35.827905|-90.727672
AR|05033|620L900US05033|State House District 33|2086828028|20110387|805.729|7.765|35.809699|-90.25917
AR|05034|620L900US05034|State House District 34|1062788712|61156631|410.345|23.613|35.843607|-89.781429
AR|05035|620L900US05035|State House District 35|1350716683|31625920|521.515|12.211|35.278474|-90.349674
AR|05036|620L900US05036|State House District 36|537727446|3268988|207.618|1.262|35.671237|-90.479127
AR|05037|620L900US05037|State House District 37|2934630154|24612601|1133.067|9.503|35.288158|-90.785104
AR|05038|620L900US05038|State House District 38|1740124066|12028693|671.866|4.644|35.713089|-90.890876
AR|05039|620L900US05039|State House District 39|1858045900|31683954|717.396|12.233|35.505165|-91.429983
AR|05040|620L900US05040|State House District 40|1092824849|5108668|421.942|1.972|35.559759|-91.693742
AR|05041|620L900US05041|State House District 41|2011779691|99617307|776.753|38.462|35.647609|-92.087131
AR|05042|620L900US05042|State House District 42|1150291520|26018344|444.13|10.046|35.348622|-92.344004
AR|05043|620L900US05043|State House District 43|2439949011|48695603|942.07|18.801|35.397802|-92.628211
AR|05044|620L900US05044|State House District 44|2049469101|15242831|791.304|5.885|35.491135|-92.93765
AR|05045|620L900US05045|State House District 45|1976588252|70332571|763.165|27.156|35.547407|-93.420781
AR|05046|620L900US05046|State House District 46|2496531164|74236159|963.916|28.663|35.247932|-93.810547
AR|05047|620L900US05047|State House District 47|805290487|18138941|310.924|7.003|35.232806|-94.245873
AR|05048|620L900US05048|State House District 48|156459987|13704195|60.41|5.291|35.424729|-94.33656
AR|05049|620L900US05049|State House District 49|33332377|4333794|12.87|1.673|35.412872|-94.39898
AR|05050|620L900US05050|State House District 50|39467436|888570|15.238|0.343|35.354565|-94.39737
AR|05051|620L900US05051|State House District 51|94096070|3201904|36.331|1.236|35.313634|-94.354404
AR|05052|620L900US05052|State House District 52|4543860240|45190803|1754.394|17.448|34.929132|-93.848347
AR|05053|620L900US05053|State House District 53|114646977|14298983|44.265|5.521|35.259009|-93.130766
AR|05054|620L900US05054|State House District 54|2879724117|57222010|1111.868|22.094|34.918559|-92.922869
AR|05055|620L900US05055|State House District 55|39561326|1034940|15.275|0.4|35.088123|-92.496368
AR|05056|620L900US05056|State House District 56|113109750|3386892|43.672|1.308|35.10636|-92.425483
AR|05057|620L900US05057|State House District 57|1294469687|2443164|499.798|0.943|35.185603|-92.066851
AR|05058|620L900US05058|State House District 58|210586988|769525|81.308|0.297|35.226714|-91.736844
AR|05059|620L900US05059|State House District 59|787789480|8005877|304.167|3.091|35.104513|-91.751784
AR|05060|620L900US05060|State House District 60|2761572363|117324859|1066.249|45.299|34.761297|-91.758575
AR|05061|620L900US05061|State House District 61|4826223585|142396674|1863.415|54.98|34.832833|-91.331626
AR|05062|620L900US05062|State House District 62|6548456579|400005575|2528.373|154.443|34.38611|-90.994999
AR|05063|620L900US05063|State House District 63|1237475664|66278995|477.792|25.59|35.011327|-90.480054
AR|05064|620L900US05064|State House District 64|1074066652|34655102|414.699|13.38|34.063655|-91.704652
AR|05065|620L900US05065|State House District 65|1352084484|96894471|522.043|37.411|34.316205|-91.828337
AR|05066|620L900US05066|State House District 66|361881837|31277926|139.723|12.076|34.681256|-92.117508
AR|05067|620L900US05067|State House District 67|48013213|1351226|18.538|0.522|34.858156|-92.178011
AR|05068|620L900US05068|State House District 68|132677194|694536|51.227|0.268|34.949388|-92.02743
AR|05069|620L900US05069|State House District 69|463155447|32449362|178.825|12.529|34.969719|-92.281799
AR|05070|620L900US05070|State House District 70|126007106|867202|48.652|0.335|34.866619|-92.275391
AR|05071|620L900US05071|State House District 71|82349775|4595907|31.795|1.774|34.844679|-92.365372
AR|05072|620L900US05072|State House District 72|52624323|6065823|20.318|2.342|34.781936|-92.279982
AR|05073|620L900US05073|State House District 73|63545699|9167357|24.535|3.54|34.801843|-92.406604
AR|05074|620L900US05074|State House District 74|24317924|331887|9.389|0.128|34.757942|-92.337155
AR|05075|620L900US05075|State House District 75|40658220|384084|15.698|0.148|34.763534|-92.440466
AR|05076|620L900US05076|State House District 76|31493440|406024|12.16|0.157|34.728637|-92.334754
AR|05077|620L900US05077|State House District 77|56992081|785486|22.005|0.303|34.700867|-92.396835
AR|05078|620L900US05078|State House District 78|578010103|48262631|223.171|18.634|34.807909|-92.559214
AR|05079|620L900US05079|State House District 79|53012396|296565|20.468|0.115|34.653651|-92.386106
AR|05080|620L900US05080|State House District 80|345764277|22717476|133.5|8.771|34.632851|-92.234987
AR|05081|620L900US05081|State House District 81|102144978|290975|39.438|0.112|34.613723|-92.434005
AR|05082|620L900US05082|State House District 82|140491710|1959744|54.244|0.757|34.551951|-92.525297
AR|05083|620L900US05083|State House District 83|338604991|6002938|130.736|2.318|34.585674|-92.730393
AR|05084|620L900US05084|State House District 84|343122304|5266730|132.48|2.033|34.529953|-92.933058
AR|05085|620L900US05085|State House District 85|1135959120|120161520|438.596|46.395|34.633909|-93.198598
AR|05086|620L900US05086|State House District 86|5194106489|74489845|2005.456|28.761|34.445558|-93.976477
AR|05087|620L900US05087|State House District 87|2943760868|129361005|1136.592|49.947|33.859924|-94.23378
AR|05088|620L900US05088|State House District 88|2631639992|58383418|1016.082|22.542|33.736156|-93.736358
AR|05089|620L900US05089|State House District 89|5113342188|72444400|1974.273|27.971|34.006067|-93.38068
AR|05090|620L900US05090|State House District 90|1081749857|35413080|417.666|13.673|34.265267|-93.019609
AR|05091|620L900US05091|State House District 91|77551121|12215358|29.943|4.716|34.461874|-93.109892
AR|05092|620L900US05092|State House District 92|1851347722|6164885|714.809|2.38|34.316747|-92.41796
AR|05093|620L900US05093|State House District 93|2267132940|16398464|875.345|6.331|33.994352|-91.960191
AR|05094|620L900US05094|State House District 94|3126910283|28274251|1207.307|10.917|33.560551|-91.732576
AR|05095|620L900US05095|State House District 95|4046776744|179069179|1562.469|69.139|33.218623|-91.575676
AR|05096|620L900US05096|State House District 96|6949416666|63504452|2683.185|24.519|33.632137|-92.460881
AR|05097|620L900US05097|State House District 97|1602262980|1477705|618.637|0.571|33.162697|-92.732673
AR|05098|620L900US05098|State House District 98|2405523493|17873705|928.778|6.901|33.520897|-93.099563
AR|05099|620L900US05099|State House District 99|3821704709|68666478|1475.569|26.512|33.182808|-93.54662
AR|05100|620L900US05100|State House District 100|136304110|596788|52.627|0.23|33.421114|-93.996016
CA|06001|620L900US06001|Assembly District 1|68501822717|2141981191|26448.703|827.024|40.670254|-121.253232
CA|06002|620L900US06002|Assembly District 2|32164538874|3320543727|12418.798|1282.069|40.217099|-123.517293
CA|06003|620L900US06003|Assembly District 3|18922210778|219908524|7305.907|84.907|39.740466|-121.974292
CA|06004|620L900US06004|Assembly District 4|10869075980|331148790|4196.574|127.857|38.897028|-122.348407
CA|06005|620L900US06005|Assembly District 5|1852832082|43382856|715.382|16.75|38.784463|-121.022916
CA|06006|620L900US06006|Assembly District 6|382374478|6479617|147.636|2.502|38.649504|-121.472084
CA|06007|620L900US06007|Assembly District 7|408814433|9137143|157.844|3.528|38.631948|-121.249828
CA|06008|620L900US06008|Assembly District 8|57634201405|653936403|22252.691|252.486|37.044844|-118.396256
CA|06009|620L900US06009|Assembly District 9|6012928408|127275734|2321.605|49.141|38.032584|-121.061419
CA|06010|620L900US06010|Assembly District 10|298852367|2507559|115.388|0.968|38.461929|-121.405364
CA|06011|620L900US06011|Assembly District 11|2458271150|301063125|949.144|116.241|38.237104|-121.901498
CA|06012|620L900US06012|Assembly District 12|2359793949|842708983|911.122|325.372|38.131755|-122.704858
CA|06013|620L900US06013|Assembly District 13|1224837912|43722571|472.913|16.881|37.81017|-121.435572
CA|06014|620L900US06014|Assembly District 14|244826950|147251389|94.528|56.854|37.946953|-122.314276
CA|06015|620L900US06015|Assembly District 15|837591022|60557521|323.396|23.381|37.941667|-121.889047
CA|06016|620L900US06016|Assembly District 16|1603044967|13006793|618.939|5.022|37.732983|-121.821016
CA|06017|620L900US06017|Assembly District 17|62987422|130532852|24.32|50.399|37.786068|-122.386335
CA|06018|620L900US06018|Assembly District 18|176769259|58433367|68.251|22.561|37.774249|-122.224756
CA|06019|620L900US06019|Assembly District 19|103511407|380022006|39.966|146.727|37.727239|-123.032229
CA|06020|620L900US06020|Assembly District 20|358581583|90907513|138.449|35.1|37.655623|-122.075787
CA|06021|620L900US06021|Assembly District 21|239670864|260052030|92.537|100.407|37.573558|-122.262472
