01000022608519U    108940512024R
011069122492E61         3852024R
011069122492E62        97892024S
011069122492E77         4552024R
011069122492E81        45632024R
011069122492E89        65172024R
011069122492I89         7082024I
011069122492T01       204762024R
011069122492T09       150282024R
011069122492T28         2742024R
011069122492U99        42112024R
01107316052719U     27952152024R
01107316052729U       928362024R
01107316052739U       507762024R
01107316052749U     28372752024R
01107316052761V          212024R
011073160527A36        26072024R
011073160527A59         3302024R
011073160527A60         5342024R
011073160527A80      2632572024R
011073160527A89       475432024R
011073160527B89       492122024R
011073160527C89       284282024R
011073160527D89        10712024I
011073160527E04        64602024R
011073160527E23       234702024R
011073160527E24        56772024R
011073160527E25       265992024R
011073160527E29        90782024R
011073160527E32       627692024I
011073160527E36       384292024R
011073160527E44       405992024R
011073160527E50        21452024R
011073160527E52          492024R
011073160527E62       919802024R
011073160527E80       941492024R
011073160527E81         9932024R
011073160527F23         9982024R
011073160527F25         2412024R
011073160527F29          912024R
011073160527F32        14732024I
011073160527F36       352922024R
011073160527F44       347222024R
011073160527F62        32902024R
011073160527F80      1197522024R
011073160527I89       948142024R
011073160527T01      1645602024R
011073160527T09      3748112024R
011073160527T10        95762024R
011073160527T13       119492024R
011073160527T14         6272024R
011073160527T16          972024R
011073160527T19           22024R
011073160527T20         3092024R
011073160527T24        40322024R
011073160527T28       102152024R
011073160527T29        80552024I
011073160527U20        39582024R
011073160527U30         1742024I
011073160527U40         5342024R
011073160527U50        34172024R
011073160527U99        42362024R
01107712249319U       391502024R
01107712249339U         6052024R
01107712249349U       385452024R
011077122493A60          112024I
011077122493A61          342024I
011077122493A81        59542024I
011077122493A89        41922024I
011077122493B89        49162024I
011077122493C89       162242024I
011077122493D89         9802024I
011077122493E01          272024I
011077122493E03          372024I
011077122493E04        48552024I
011077122493E05         3682024I
011077122493E23        33962024I
011077122493E24        12702024I
011077122493E25         9282024I
011077122493E29        17752024I
011077122493E31        11612024I
011077122493E32         4332024I
011077122493E44       117922024I
011077122493E52         2202024I
011077122493E59         7952024R
011077122493E61         3422024I
011077122493E62        64422024I
011077122493E79         2262024I
011077122493E81        70202024I
011077122493E89         9282024I
011077122493F04          932024I
011077122493F23          102024I
011077122493F25          282024I
011077122493F29         1022024I
011077122493F31        13162024I
011077122493F32         3072024I
011077122493F44        14002024I
011077122493F62         1252024I
011077122493F81         6062024I
011077122493F89        23092024R
011077122493I89        12162024R
011077122493T01       147362024I
011077122493T13         9852024I
011077122493T16         1722024I
011077122493T19         7912024I
011077122493T24         2752024I
011077122493T28          872024I
011077122493T29        12052024I
011077122493T99         5912024I
011077122493U11        20492024I
011077122493U20        16472024R
011077122493U30           12024I
011077122493U40         1992024I
011077122493U50          192024I
011077122493U99         4562024I
01108116052819U       282312024I
01108116052839U        22652024I
01108116052849U       259662024I
011081160528A81        37802024I
011081160528A89        75002024I
011081160528B89         8632024I
011081160528C89       131462024I
011081160528D89        18252024I
011081160528E04        88592024I
011081160528E05         4132024I
011081160528E23        18832024I
011081160528E24           82024I
011081160528E25         1162024I
011081160528E29         3482024I
011081160528E31        30172024I
011081160528E32         4432024I
011081160528E44        83092024I
011081160528E52           92024I
011081160528E59          432024I
011081160528E61           62024I
011081160528E62       127132024I
011081160528E66         7272024I
011081160528E79           32024I
011081160528E81        41102024I
011081160528E89        72932024I
011081160528F23           42024I
011081160528F44         9132024I
011081160528F89        46602024I
011081160528I89         9392024I
011081160528T01       264172024I
011081160528T09        22852024I
011081160528T10          152024I
011081160528T21          502024I
011081160528T28         1662024I
011081160528T29        10252024I
011081160528T51        12862024I
011081160528U11         4052024I
011081160528U20         6132024I
011081160528U99        17042024I
01108712249419U        40842024R
01108712249439U         3802024R
01108712249449U        37042024R
011087122494B89          832024R
011087122494C89         9592024R
011087122494D89        46162024R
011087122494E23        35102024R
011087122494E44        32162024R
011087122494E61         1422024R
011087122494E62        34212024R
011087122494E77         1102024R
011087122494E81         2742024R
011087122494E89         6482024R
011087122494I89         1632024I
011087122494T01        19122024R
011087122494T09        22252024R
011087122494T10          612024R
011087122494T13        16022024R
011087122494T16           42024R
011087122494T20           22024R
011087122494T24           82024R
011087122494T28         5062024R
011087122494U40           92024R
011087122494U99         3662024R
